Month,Entry_Diff,Exit_Diff,Total_Traffic
2022-01-01,49850719.0,61848037.0,111698756.0
2022-02-01,53786100.0,67869409.0,121655509.0
2022-03-01,66030566.0,83661291.0,149691857.0
2022-04-01,61932141.0,80923955.0,142856096.0
2022-05-01,64388584.0,85516778.0,149905362.0
2022-06-01,62918061.0,86729925.0,149647986.0
2022-07-01,56282541.0,82178764.0,138461305.0
2022-08-01,57703525.0,85065565.0,142769090.0
2022-09-01,61589732.0,91214414.0,152804146.0
2022-10-01,63680804.0,95420542.0,159101346.0
2022-11-01,60186264.0,90816992.0,151003256.0
2022-12-01,58731755.0,90192528.0,148924283.0
